336
de advocaat ,  the lawyer ;
de advocaten ,  the lawyers ;
de man ,  the man ;
de mannen ,  the men ;
de jongen ,  the boy ;
de jongens ,  the boys ;
de  vrouw ,  the woman ;
de vrouwen ,  the women ;
de vriend ,  the boyfriend ;
de vriendin ,  the girlfriend ;
de vrinden ,  the friends ;
de vriendinnen ,  the girlfriends ;
de vriendjes ,  the boyfriends ;
het kind ,  the kid ;
de kinderen ,  the kids ;
het meisje ,  the girl ;
de meisjes ,  the girls ;
de collega ,  the colleague ;
de collega's ,  the colleagues ;
de ex-collega ,  the ex-colleague ;
de ex-collega's ,  the ex-colleagues ;
de professor ,  the professor ;
de professoren ,  the professors ;
de Meneer ,  the Mr. ;
de Mevrouw ,  the Mrs. ;
de baby ,  the baby ;
de baby's ,  the babies ;
de identiteitskaart ,  the ID card ;
de identiteitskaarten ,  the ID cards ;
de vijand ,  the enemy ;
de vijanden ,  the enemies ;
de koffie ,  the coffee ;
het kopje ,  the cup ;
de kopjes ,  the cups ;
het glas ,  the glass ;
de glazen ,  the glasses ;
de melk ,  the milk ;
de thee ,  the tea ;
de whisky ,  the whiskey ;
de vodka ,  the vodka ;
de wijn ,  the wine ;
het bier ,  the beer ;
het fruitsap ,  the fruit juice ;
het sap ,  the juice ;
het water ,  the water ;
de room ,  the cream ;
de fles ,  the bottle ;
de flessen ,  the bottles ;
de auto ,  the car ;
de auto's ,  the cars ;
de bus ,  the bus ;
de bussen ,  the busses ;
de taxi ,  the taxi ;
de taxi's ,  the taxis ;
de trein ,  the train ;
de treinen ,  the trains ;
het vliegtuig ,  the airplane ;
de vliegtuigen ,  the airplanes ;
het ticket ,  the ticket ;
de tickets ,  the tickets ;
de fiets ,  the bike ;
de fietsen ,  the bikes ;
de krant ,  the newspaper ;
de kranten ,  the newspapers ;
het tijdschrift ,  the magazine ;
de tijdschriften ,  the magazines ;
het boek ,  the book ;
de boeken ,  the books ;
de paraplu ,  the umbrella ;
de paraplu's ,  the umbrellas ;
de bril ,  the glasses (accessories) ;
de brillen ,  the many glasses (accessories) ;
de tas ,  the bag ;
de tassen ,  the bags ;
de student ,  the student (male) ;
de studenten ,  the students ;
de studente ,  the student (female) ;
de studentes ,  the students ;
de leraar ,  the teacher ;
de leraren ,  the teachers ;
de leraars ,  the teachers ;
de ingenieur ,  the engineer ;
de ingenieurs ,  the engineers ;
de huisvrouw ,  the housewife ;
de huisvrouwen ,  the housewifes ;
de winkelier ,  the shopkeeper ;
de winkeliers ,  the shopkeepers ;
de accountant ,  the accountant ;
de accountants ,  the accountants ;
de marketingmanager ,  the marketing manager ;
de marketingmanagers ,  the marketing managers ;
de  docent ,  the docent (male) ;
de docenten ,  the docents ;
de docente ,  the docent (female) ;
de docentes ,  the docents ;
de filosoof ,  the philosopher (male) ;
de filosofe ,  the philosopher (female) ;
de filosofen ,  the philosophers ;
de assistEnt ,  the assistant ;
de assistente ,  the assistant (female) ;
de assistenten ,  the assistants ;
de assistentes ,  the assistants ;
de universiteit ,  the university ;
de universiteiten ,  the universities ;
de economie ,  the economics ;
de firma ,  the company ;
de firma's ,  the companies ;
de ambtenaar ,  the govermental worker ;
de ambtenaren ,  the govermental workers ;
de ambtenaars ,  the govermental workers ;
de bediende ,  the clerk ;
de bediendes ,  the clerks ;
de bedienden ,  the clerks ;
de dokter ,  the doctor ;
de dokters ,  the doctors ;
de doktoren ,  the doctors ;
de stad ,  the city ;
de steden ,  the cities ;
het hart ,  the heart ;
de harten ,  the hearts ;
het ziekenhuis ,  the hospital ;
