welcom aan boord , welcom on board ;
tot ziens , see you! ;
een beetje , a bit ;
hè , isn't it ;
de meeste , the most ;
we wonen samen , we live together ;
dank u wel , thank you a lot (formal) ;
jullie zijn here ook , you are also here ;
ik ga naar Berlijn , I'm going to Berlin ;
dank je , thank you (informal) ;
prettige reis , pleasant trip ;
op een feestje , at a party ;
al lang , for long ;
het hart van de stad , the heart of the city ;
nog iets? , anything else? ;
waar kom je vandaan? , where did you come from? ;
waar ga je naartoe? , where are you going? ;
met vacantie , on holiday ;
op het einde , at the end ;
Ik ben heel moe , I'm very tired ;
Hoe gaat het ermee? , How is it going? ;
Hoe gaat het met jou? , How is it going with you(!)? ;
Hoe is het met jou? , How is it with you(!)? ;
Hoe gaat het? , How is it going? ;
Hoe is het? , How is it? ;
Uitstekend , Outstanding ;
Prima , Perfect ;
Heel goed , Very good ;
Goed , Good ;
Het gaat wel , it’s ok ;
Niet zo goed , Not so good ;
Niet zo best , Not the best ;
Slecht , Bad ;
Verschrikkelijk , Terrible ;
